"filename", "language", "JSON", "TypeScript", "HTML", "CSS", "Markdown", "JavaScript", "JSON with Comments", "XML", "Docker", "Properties", "SCSS", "comment", "blank", "total"
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\frontend\angular\angular\.angular\cache\15.0.0\babel-webpack\4cc8eef1392be43e2ad55bce6236fa87ec0a5f8feb2f274af63c24922ca4acf1.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\frontend\angular\angular\.angular\cache\15.0.0\babel-webpack\4e5cd4563d655bfa93f94d7b8743f045684e8f093173449f0d671b742d6f5fc1.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\frontend\angular\angular\.angular\cache\15.0.0\babel-webpack\4fb01a733da29a3a52c17d1f6bc5b1f50c835baa8fc93458fb3d0bba7cf75f2c.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\frontend\angular\angular\.angular\cache\15.0.0\babel-webpack\50d61ebea3745dbb6d118844aaba552dc99293fe980057cfa856ff1e97ffabe6.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\frontend\angular\angular\.angular\cache\15.0.0\babel-webpack\510b7b2cef0358b495a556223b9edbab7b83911ae3542447341b385b193b330f.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\frontend\angular\angular\.angular\cache\15.0.0\babel-webpack\513b4cd4bd25a55963bab0af3ad0018bbf74503de7e5d80aa7be64fab80c59f1.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\frontend\angular\angular\.angular\cache\15.0.0\babel-webpack\51a767dfba23494f297abf4855be05af3c9cd80f0eb25ae319891a8b50d36da8.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\frontend\angular\angular\.angular\cache\15.0.0\babel-webpack\5282f5fb32d3d24987d4785462203712e8e183b19ca816391ffa1d7b1b18d96c.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\frontend\angular\angular\.angular\cache\15.0.0\babel-webpack\530b2c7496db95829da86b56c2e4e9acdab78e38fe3d926e819b6510dd03a6a0.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\frontend\angular\angular\.angular\cache\15.0.0\babel-webpack\545660f784084827936c404830f39f1dee22c59b72b48cb0ae5ad7047631fd9f.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\frontend\angular\angular\.angular\cache\15.0.0\babel-webpack\545849918638ba9a6c4c03cef0f6b630bc24985f50650537fe0003ea093b8736.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\frontend\angular\angular\.angular\cache\15.0.0\babel-webpack\574dfe60dff209674b62c36930ab450d1ba593ade72871f72834af94189de7dc.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\frontend\angular\angular\.angular\cache\15.0.0\babel-webpack\5821b836b5146ec736a844435a51ee34b327f3a0ac55c3913ecf9c318a34b165.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\yongk\Desktop\programming\PeakVisor\PeakVisor\frontend\angular\angular\.angular\cache\15.0.0\babel-webpack\591c89d7e216072cb523285a878f35d1223f8a76359f22708b0fa18fde86687c.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
